FID,ID_POP_DOMIC_BAIRRO_2022,NUM_BAIRRO,BAIRRO,AREA_KM,POPULACAO,DOMICILIOS
POP_DOMIC_BAIRRO_2022.259,259,1247,Tupi B,1.30748325,13397.0,5570.0
POP_DOMIC_BAIRRO_2022.182,182,807,Garças,1.25025215,1228.0,457.0
POP_DOMIC_BAIRRO_2022.83,83,699,Itapoã,1.62991258,9938.0,4519.0
POP_DOMIC_BAIRRO_2022.115,115,733,Nova Pampulha,0.03873658,309.0,121.0
POP_DOMIC_BAIRRO_2022.348,348,1356,Mirante,0.01253575,496.0,195.0
POP_DOMIC_BAIRRO_2022.139,139,762,Santa Amélia,2.21639592,20449.0,8958.0
POP_DOMIC_BAIRRO_2022.201,201,828,Copacabana,1.44269605,14650.0,6074.0
POP_DOMIC_BAIRRO_2022.27,27,632,Campo Alegre,0.2171249,2469.0,923.0
POP_DOMIC_BAIRRO_2022.311,311,1315,Conjunto São Francisco de Assis,0.0140447,364.0,133.0
POP_DOMIC_BAIRRO_2022.170,170,794,São Tomáz,0.18472438,2208.0,1012.0
POP_DOMIC_BAIRRO_2022.255,255,1240,Nazaré,0.78444197,7716.0,3282.0
POP_DOMIC_BAIRRO_2022.55,55,662,Dona Clara,0.7915943,9126.0,3885.0
POP_DOMIC_BAIRRO_2022.641,641,2031,Vila Verde,0.00768973,58.0,22.0
POP_DOMIC_BAIRRO_2022.642,642,2032,Cristo Rei,0.0096148,312.0,150.0
POP_DOMIC_BAIRRO_2022.393,393,1402,Vila Aeroporto Jaraguá,0.01042125,428.0,162.0
POP_DOMIC_BAIRRO_2022.187,187,812,Goiânia,1.95297292,15219.0,6550.0
POP_DOMIC_BAIRRO_2022.318,318,1322,Vila Esplanada,0.03488033,898.0,361.0
POP_DOMIC_BAIRRO_2022.287,287,1290,Biquinhas,0.06185317,1688.0,663.0
POP_DOMIC_BAIRRO_2022.254,254,1239,Belmonte,0.482753,2606.0,1104.0
POP_DOMIC_BAIRRO_2022.349,349,1357,Mirtes,0.01300075,326.0,115.0
POP_DOMIC_BAIRRO_2022.398,398,1407,Vila Átila de Paiva,0.0462582,1351.0,532.0
POP_DOMIC_BAIRRO_2022.252,252,1202,Vista do Sol,0.31760618,5562.0,2260.0
POP_DOMIC_BAIRRO_2022.375,375,1384,São Gonçalo,0.2434525,2322.0,970.0
POP_DOMIC_BAIRRO_2022.134,134,756,Providência,0.71243402,6957.0,2930.0
POP_DOMIC_BAIRRO_2022.324,324,1328,Grotinha,0.01346452,298.0,113.0
POP_DOMIC_BAIRRO_2022.365,365,1373,São Francisco das Chagas,0.02774002,620.0,237.0
POP_DOMIC_BAIRRO_2022.392,392,1401,Vila Aeroporto,0.0757205,931.0,358.0
POP_DOMIC_BAIRRO_2022.159,159,783,São Gabriel,1.99804331,13399.0,5922.0
POP_DOMIC_BAIRRO_2022.108,108,725,Minaslândia,0.79242013,6379.0,2803.0
POP_DOMIC_BAIRRO_2022.639,639,2029,Vila Nova Cintra,0.00597402,108.0,45.0
POP_DOMIC_BAIRRO_2022.640,640,2030,Jardim Getsemani,0.35971739,2028.0,822.0
POP_DOMIC_BAIRRO_2022.1,1,600,Aarão Reis,0.35332474,2844.0,1229.0
POP_DOMIC_BAIRRO_2022.85,85,701,Jaraguá,0.50489819,4670.0,1950.0
POP_DOMIC_BAIRRO_2022.54,54,661,Dom Silvério,0.50288528,4456.0,1956.0
POP_DOMIC_BAIRRO_2022.310,310,1314,Conjunto Providência,0.01372713,318.0,137.0
POP_DOMIC_BAIRRO_2022.385,385,1394,Três Marias,0.03615868,728.0,319.0
POP_DOMIC_BAIRRO_2022.451,451,1460,Vila Rica,0.02886403,229.0,97.0
POP_DOMIC_BAIRRO_2022.305,305,1309,Conjunto Floramar,0.02372254,885.0,308.0
POP_DOMIC_BAIRRO_2022.360,360,1368,Novo Tupi,0.31254394,3170.0,1150.0
POP_DOMIC_BAIRRO_2022.215,215,1043,Ipê,0.48816856,4527.0,1867.0
POP_DOMIC_BAIRRO_2022.129,129,749,Pirajá,0.25164606,3155.0,1322.0
POP_DOMIC_BAIRRO_2022.125,125,743,Paquetá,1.45668087,10041.0,4403.0
POP_DOMIC_BAIRRO_2022.307,307,1311,Conjunto Lagoa,0.07284068,541.0,211.0
POP_DOMIC_BAIRRO_2022.73,73,687,Guarani,0.72995313,7087.0,3016.0
POP_DOMIC_BAIRRO_2022.404,404,1413,Vila Copacabana,0.02405451,420.0,161.0
POP_DOMIC_BAIRRO_2022.256,256,1241,Beija Flor,0.92749113,1881.0,759.0
POP_DOMIC_BAIRRO_2022.204,204,831,Jardim Vitória,5.42112372,16135.0,6605.0
POP_DOMIC_BAIRRO_2022.77,77,691,Heliópolis,0.65821309,7437.0,3277.0
